ilanBasligi,adres,il,fiyat(TRY),ilanID,ilanTarihi,marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,motorHacmi(Cc),motorGucu(HP),cekisTipi,boyaParcaDurumu,takasUygunluk,saticiTuru,aracVergisi(TRY),hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı
2016 AUDİ A3 SPORTBACK 1.0 TFSI BOYASIZ/DEĞİŞENSİZ/TRAMERSİZ____,Aşağısoku Mh. Merkez,Bolu,1.169.000 TL,27812680,07 Nisan 2025,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,120.000 km,2016.0,Otomatik,Benzin,Hatchback/5,Beyaz,1200 cm3' e kadar,101 - 125 HP,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,13,0,0,0,0
2018 AUDİ A6 2.0 TDI QUATTRO SUNROOF MATRİX VAKUM 4K.ISITMA NAVİ. E.BAGAJ BAYİ,Güneşevler Mh. Altındağ,Ankara,2.450.000 TL,28816234,07 Nisan 2025,Audi,A6,A6 Sedan 2.0 TDI Quattro,136.000 km,2018.0,Yarı Otomatik,Dizel,Sedan,Siyah,1968 cc,190 hp,4WD (Sürekli),Orjinal  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  -,Takasa Uygun Değil,Galeriden,,tutarı belirtilmemiş,8,0,4,1,0
Sahibinden Audi A4 Sedan 1.8 TFSI 2011 Model,Burmalı Mh. Merkez,Afyonkarahisar,750.000 TL,28781662,08 Nisan 2025,Audi,A4,A4 Sedan 1.8 TFSI,285.000 km,2011.0,Otomatik,Benzin,Sedan,Beyaz,1798 cc,160 hp,Önden Çekiş,Orjinal  Tavan  Sol Ön Kapı  Motor Kaputu  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Kapı  Sol Ön Çamurluk  Boyalı  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,Sahibinden,2.013,75.000,5,2,6,0,0
2016 AUDI A3 AMBİENTE *CAM TAVAN LED XENON HIZ SABTLME DERİ KLTK,Ilıca Mh. Manavgat,Antalya,1.195.000 TL,28731117,03 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Ambiente,101.000 km,2016.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,1598 cc,110 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sol Arka Çamurluk  Boyalı  -  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  -,Takasa Uygun,Galeriden,1.606,tutarı yok,11,1,0,1,0
Sahibinden Audi A3 Sportback 1.6 TDI S-Line 2012 Model,Uğur Mumcu Mh. Yenimahalle,Ankara,822.000 TL,28393351,02 Nisan 2025,Audi,A3,A3 Sportback 1.6 TDI Attraction,212.000 km,2012.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,,,,tutarı belirtilmemiş,12,1,0,0,0
2018 -A4 1.4 TFSİ -SUNROOF-DERİ -ISITMA-DEĞİŞENSİZ - 85... KM,Bahçelievler Mh. Bahçelievler,İstanbul,1.750.000 TL,28640127,28 Mart 2025,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,85.600 km,2018.0,Yarı Otomatik,Benzin,Sedan,Füme,1395 cc,150 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  Sağ Ön Çamurluk  Boyalı  -  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,Galeriden,,37.800,0,1,0,0,12
Galeriden Audi A3 Sedan 1.6 TDI Ambiente 2014 Model Tekirdağ,Zafer Mh. Çorlu,Tekirdağ,990.000 TL,28631300,28 Mart 2025,Audi,A3,A3 Sedan 1.6 TDI Ambiente,218.000 km,2014.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  -  Değişmiş  Sağ Ön Çamurluk  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,Takasa Uygun,Galeriden,1.606,3.295,0,0,0,1,12
AUDİ A3 SEDAN 1.6 TDI DESİGN LİNE S-TONİC,Yalı Mh. Karasu,Sakarya,1.475.000 TL,28817858,07 Nisan 2025,Audi,A3,A3 Sedan 1.6 TDI Design Line,126.000 km,2018.0,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Arka Kaput  Sağ Ön Kapı  Tavan  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  Sağ Arka Çamurluk  Sol Arka Çamurluk  Sağ Arka Kapı  Sol Arka Kapı  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun,,,,9,0,4,0,0
2008 MODEL AUDİ A6 2.0TDI S LINE 188.000 KM'DE BAKIMLI KUSURSUZ,Yeni Mh. Çaycuma,Zonguldak,1.030.000 TL,28817845,07 Nisan 2025,Audi,A6,A6 Sedan 2.0 TDI,189.000 km,2008.0,Otomatik,Dizel,Sedan,Siyah,1968 cc,136 hp,Önden Çekiş,Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,Galeriden,1.198,,13,0,0,0,0
ADANZY AUTO'dan 2017 M AUDİ A3 YENİ MAKYAJLI KASA 155 BİN KM,Karacaahmet Mh. Şehitkamil,Gaziantep,1.185.000 TL,28816887,07 Nisan 2025,Audi,A3,A3 Sedan 1.6 TDI Dynamic,159.500 km,2017.0,Otomatik,Dizel,Sedan,Siyah,1401 - 1600 cm3,101 - 125 HP,Önden Çekiş,Orjinal  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  Sağ Arka Çamurluk  Boyalı  Sol Ön Kapı  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,11,1,1,0,0
Sahibinden Audi A3 Sedan 35 TFSI Design 2020 Model,Cennet Mh. Küçükçekmece,İstanbul,1.600.000 TL,28815998,07 Nisan 2025,Audi,A3,A3 Sedan 35 TFSI Design,55.000 km,2020.0,Yarı Otomatik,Benzin,Sedan,Füme,1498 cc,150 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Ön Çamurluk  Ön Tampon  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Arka Tampon,,Sahibinden,,29.543,0,0,2,0,11
Sahibinden Audi A3 Sedan 1.6 TDI Design Line 2016 Model,Fatih Mh. Muratlı,Tekirdağ,1.150.000 TL,28815942,07 Nisan 2025,Audi,A3,A3 Sedan 1.6 TDI Design Line,240.000 km,2016.0,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,110 hp,Önden Çekiş,Orjinal  -  Lokal boyalı  -  Boyalı  Sağ Ön Çamurluk  Değişmiş  -  Belirtilmemiş  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon,,Sahibinden,,,0,0,1,0,12
2022 AUDİ A6 40TDİ QUATTRO DESİGN -HATASIZ-BOYASIZ-TRAMERSİZ-,Birlik Mh. Çankaya,Ankara,4.850.000 TL,28816511,07 Nisan 2025,Audi,A6,A6 Sedan 40 TDI Quattro Design,62.000 km,2022.0,Otomatik,Dizel,Sedan,Siyah,1801 - 2000 cm3,201 - 225 HP,4WD (Sürekli),Orjinal  Sağ Arka Çamurluk  Arka Kaput  Sol Arka Çamurluk  Sağ Arka Kapı  Sağ Ön Kapı  Tavan  Sol Arka Kapı  Sol Ön Kapı  Sağ Ön Çamurluk  Motor Kaputu  Sol Ön Çamurluk  Ön Tampon  Arka Tampon  Lokal boyalı  -  Boyalı  -  Değişmiş  -  Belirtilmemiş  -,Takasa Uygun Değil,,,,13,0,0,0,0
