il,fiyat(TRY),marka,seri,model,kilometre(Km),yıl,vitesTipi,yakitTuru,kasaTipi,renk,cekisTipi,takasUygunluk,saticiTuru,hasarGecmisi,orjinal_parça_sayısı,lokal_boyalı_parça_sayısı,boyalı_parça_sayısı,değişen_parça_sayısı,durumu_belirtilmemiş_parça_sayısı,fiyat_temiz,km_temiz,yil_temiz,motor_gucu_temiz,motor_hacmi_temiz,arac_yasi,km_per_yas,hasar_skoru,log_fiyat,marka_populerlik,marka_populerlik_log
Bolu,1.169.000 TL,Audi,A3,A3 Sportback 1.0 TFSI Dynamic,120.000 km,2016.0,Otomatik,Benzin,Hatchback/5,Beyaz,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,13,0,0,0,0,1169000,120000.0,2016.0,113.0,1200.0,8.0,15000.0,0.0,13.971660095885833,495,6.206575926724928
Ankara,2.450.000 TL,Audi,A6,A6 Sedan 2.0 TDI Quattro,136.000 km,2018.0,Yarı Otomatik,Dizel,Sedan,Siyah,4WD (Sürekli),Takasa Uygun Değil,Galeriden,tutarı belirtilmemiş,8,0,4,1,0,2450000,136000.0,2018.0,190.0,1968.0,6.0,22666.666666666668,11.0,14.711598990684092,495,6.206575926724928
Afyonkarahisar,750.000 TL,Audi,A4,A4 Sedan 1.8 TFSI,285.000 km,2011.0,Otomatik,Benzin,Sedan,Beyaz,Önden Çekiş,Takasa Uygun Değil,Sahibinden,75.000,5,2,6,0,0,750000,285000.0,2011.0,160.0,1798.0,13.0,21923.076923076922,14.0,13.527829818844937,495,6.206575926724928
Antalya,1.195.000 TL,Audi,A3,A3 Sportback 1.6 TDI Ambiente,101.000 km,2016.0,Yarı Otomatik,Dizel,Hatchback/5,Siyah,Önden Çekiş,Takasa Uygun,Galeriden,tutarı yok,11,1,0,1,0,1195000,101000.0,2016.0,110.0,1598.0,8.0,12625.0,4.0,13.993657580167481,495,6.206575926724928
Ankara,822.000 TL,Audi,A3,A3 Sportback 1.6 TDI Attraction,212.000 km,2012.0,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,Önden Çekiş,Bilinmiyor,Bilinmiyor,tutarı belirtilmemiş,12,1,0,0,0,822000,212000.0,2012.0,105.0,1598.0,12.0,17666.666666666668,1.0,13.619496890582589,495,6.206575926724928
İstanbul,1.750.000 TL,Audi,A4,A4 Sedan 1.4 TFSI Dynamic,85.600 km,2018.0,Yarı Otomatik,Benzin,Sedan,Füme,Önden Çekiş,Takasa Uygun,Galeriden,37.800,0,1,0,0,12,1750000,85600.0,2018.0,150.0,1395.0,6.0,14266.666666666666,1.0,14.375126917328105,495,6.206575926724928
Tekirdağ,990.000 TL,Audi,A3,A3 Sedan 1.6 TDI Ambiente,218.000 km,2014.0,Yarı Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Galeriden,3.295,0,0,0,1,12,990000,218000.0,2014.0,110.0,1598.0,10.0,21800.0,3.0,13.805461232211272,495,6.206575926724928
Sakarya,1.475.000 TL,Audi,A3,A3 Sedan 1.6 TDI Design Line,126.000 km,2018.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun,Bilinmiyor,Bilinmiyor,9,0,4,0,0,1475000,126000.0,2018.0,113.0,1500.5,6.0,21000.0,8.0,14.204169225721929,495,6.206575926724928
Zonguldak,1.030.000 TL,Audi,A6,A6 Sedan 2.0 TDI,189.000 km,2008.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Galeriden,Bilinmiyor,13,0,0,0,0,1030000,189000.0,2008.0,136.0,1968.0,16.0,11812.5,0.0,13.845070331079134,495,6.206575926724928
Gaziantep,1.185.000 TL,Audi,A3,A3 Sedan 1.6 TDI Dynamic,159.500 km,2017.0,Otomatik,Dizel,Sedan,Siyah,Önden Çekiş,Takasa Uygun Değil,Bilinmiyor,Bilinmiyor,11,1,1,0,0,1185000,159500.0,2017.0,113.0,1500.5,7.0,22785.714285714286,3.0,13.98525417643287,495,6.206575926724928
